DATE;TIME;HIGH;LOW;CLOSE;OPEN;VOLUME
2015.04.27;12:00:00;4.923;4.9005;4.923;4.908;128
2015.04.27;16:00:00;4.958;4.923;4.9505;4.923;161
2015.04.27;20:00:00;4.953;4.948;4.9505;4.9505;43
2015.04.28;00:00:00;4.9905;4.9355;4.9455;4.958;1207
2015.04.28;04:00:00;4.9505;4.9255;4.9255;4.943;250
2015.04.28;08:00:00;4.913;4.8755;4.913;4.883;183
2015.04.28;12:00:00;4.9155;4.903;4.913;4.9105;140
2015.04.28;16:00:00;4.928;4.908;4.908;4.9155;149
2015.04.28;20:00:00;4.9105;4.8955;4.9105;4.9055;40
2015.04.29;00:00:00;4.953;4.8855;4.9155;4.898;947
2015.04.29;04:00:00;4.9805;4.913;4.9755;4.913;197
2015.04.29;08:00:00;4.973;4.9555;4.9655;4.973;107
2015.04.29;12:00:00;4.963;4.9505;4.953;4.963;47
2015.04.29;16:00:00;4.953;4.933;4.9455;4.9505;202
2015.04.29;20:00:00;4.968;4.943;4.968;4.948;110
2015.04.30;00:00:00;5.0505;4.9355;5.013;4.9455;1352
2015.04.30;04:00:00;5.0255;4.9905;4.993;5.0155;173
2015.04.30;08:00:00;4.998;4.983;4.988;4.993;110
2015.04.30;12:00:00;4.9905;4.9755;4.9855;4.988;73
2015.04.30;16:00:00;5.018;4.9855;5.013;4.988;108
2015.04.30;20:00:00;5.0105;5.0005;5.008;5.0105;48
2015.05.01;00:00:00;5.038;4.9505;4.998;5.0055;1194
2015.05.01;04:00:00;5.0005;4.983;4.988;4.993;162
2015.05.01;08:00:00;5.013;4.988;5.0055;4.9905;139
2015.05.01;12:00:00;5.008;4.993;5.008;4.9955;54
2015.05.01;16:00:00;5.0255;5.0055;5.0155;5.0055;152
2015.05.01;20:00:00;5.018;5.008;5.018;5.018;54
2015.05.04;00:00:00;5.053;5.0055;5.023;5.028;887
2015.05.04;04:00:00;5.028;5.003;5.008;5.0205;171
2015.05.04;08:00:00;5.0105;5.003;5.0105;5.0055;131
2015.05.04;12:00:00;5.013;4.9955;4.998;5.008;79
2015.05.04;16:00:00;5.013;4.993;5.0005;4.998;162
2015.05.04;20:00:00;5.0005;4.9905;4.9905;5.0005;34
2015.05.05;00:00:00;4.9905;4.878;4.893;4.988;949
2015.05.05;04:00:00;4.913;4.8705;4.888;4.8955;216
2015.05.05;08:00:00;4.883;4.848;4.8805;4.878;122
2015.05.05;12:00:00;4.898;4.878;4.8855;4.878;106
2015.05.05;16:00:00;4.883;4.863;4.863;4.883;73
2015.05.05;20:00:00;4.8655;4.8555;4.8655;4.8605;36
2015.05.06;00:00:00;4.878;4.748;4.7505;4.868;842
2015.05.06;04:00:00;4.7555;4.7205;4.733;4.748;182
2015.05.06;08:00:00;4.7605;4.738;4.738;4.7455;224
2015.05.06;12:00:00;4.758;4.7355;4.758;4.7405;28
2015.05.06;16:00:00;4.758;4.7005;4.7105;4.7555;182
2015.05.06;20:00:00;4.7205;4.6955;4.7205;4.708;66
2015.05.07;00:00:00;4.773;4.6355;4.763;4.7255;1436
2015.05.07;04:00:00;4.778;4.738;4.758;4.763;267
2015.05.07;08:00:00;4.773;4.7555;4.7655;4.7605;136
2015.05.07;12:00:00;4.768;4.7355;4.7505;4.768;150
2015.05.07;16:00:00;4.788;4.748;4.7855;4.748;210
2015.05.07;20:00:00;4.7955;4.778;4.793;4.783;49
2015.05.08;00:00:00;4.8155;4.738;4.813;4.768;1152
2015.05.08;04:00:00;4.833;4.7855;4.833;4.8155;284
2015.05.08;08:00:00;4.8655;4.8305;4.848;4.8305;260
2015.05.08;12:00:00;4.858;4.838;4.8555;4.848;103
2015.05.08;16:00:00;4.878;4.853;4.868;4.858;264
2015.05.08;20:00:00;4.8805;4.868;4.868;4.8705;41
2015.05.11;00:00:00;4.8705;4.713;4.733;4.868;1250
2015.05.11;04:00:00;4.7605;4.7205;4.748;4.7305;352
2015.05.11;08:00:00;4.7555;4.7205;4.7255;4.7555;174
2015.05.11;12:00:00;4.7455;4.728;4.738;4.728;58
2015.05.11;16:00:00;4.773;4.738;4.738;4.7405;99
2015.05.11;20:00:00;4.748;4.738;4.7405;4.7405;21
2015.05.12;00:00:00;4.7855;4.6805;4.7205;4.743;970
2015.05.12;04:00:00;4.748;4.723;4.733;4.7255;221
2015.05.12;08:00:00;4.733;4.7055;4.7305;4.7055;147
2015.05.12;12:00:00;4.733;4.7155;4.718;4.728;30
2015.05.12;16:00:00;4.7155;4.668;4.6805;4.7155;185
2015.05.12;20:00:00;4.688;4.6755;4.6855;4.683;70
2015.05.13;00:00:00;4.738;4.658;4.713;4.683;815
2015.05.13;04:00:00;4.7355;4.708;4.7205;4.7105;126
2015.05.13;08:00:00;4.718;4.703;4.718;4.7055;110
2015.05.13;12:00:00;4.7205;4.7005;4.7005;4.718;105
2015.05.13;16:00:00;4.698;4.6705;4.6755;4.698;141
2015.05.13;20:00:00;4.6805;4.6755;4.678;4.678;36
2015.05.14;00:00:00;4.6805;4.6055;4.653;4.6705;1016
2015.05.14;04:00:00;4.663;4.6405;4.6605;4.6505;156
2015.05.14;08:00:00;4.6955;4.673;4.688;4.678;146
2015.05.14;12:00:00;4.6905;4.6805;4.6905;4.6855;52
2015.05.14;16:00:00;4.693;4.6805;4.6855;4.688;51
2015.05.14;20:00:00;4.693;4.683;4.688;4.688;48
2015.05.15;00:00:00;4.808;4.668;4.7855;4.7005;1369
2015.05.15;04:00:00;4.8155;4.768;4.7855;4.788;367
2015.05.15;08:00:00;4.8005;4.7755;4.798;4.798;106
2015.05.15;12:00:00;4.798;4.7905;4.793;4.798;19
2015.05.15;16:00:00;4.818;4.778;4.8005;4.7905;138
2015.05.15;20:00:00;4.8055;4.7805;4.7805;4.798;40
2015.05.18;00:00:00;4.833;4.708;4.7205;4.783;1609
2015.05.18;04:00:00;4.738;4.713;4.7205;4.718;224
2015.05.18;08:00:00;4.733;4.713;4.733;4.713;72
2015.05.18;12:00:00;4.7605;4.728;4.758;4.7305;66
2015.05.18;16:00:00;4.7655;4.738;4.7605;4.7555;64
2015.05.18;20:00:00;4.763;4.7355;4.7355;4.763;78
2015.05.19;00:00:00;4.798;4.7305;4.768;4.7555;1144
2015.05.19;04:00:00;4.8205;4.748;4.818;4.7705;198
